Turn,Plants,Herbivores,Predators
0,60,20,7
1,55,19,7
2,51,18,7
3,48,18,7
4,47,18,7
5,44,18,7
6,43,18,7
7,42,17,7
8,81,17,7
9,79,17,7
10,76,17,7
11,74,17,7
12,71,17,7
13,68,15,7
14,66,15,7
15,65,20,8
16,126,20,8
17,123,19,9
18,119,20,9
19,115,19,9
20,114,18,9
21,112,18,9
22,112,17,9
23,111,16,9
24,199,15,9
25,195,14,10
26,191,13,10
27,187,12,10
28,183,9,10
29,180,9,10
30,176,12,11
31,170,14,11
32,273,14,12
33,266,14,12
34,257,13,13
35,249,13,13
36,240,13,13
37,231,13,13
38,223,13,13
39,214,13,13
40,320,13,14
41,312,13,14
42,306,13,14
43,299,13,14
44,293,13,14
45,290,21,14
46,284,24,14
47,279,24,14
48,369,24,14
49,358,24,14
50,348,24,14
51,337,23,13
52,327,23,13
53,314,23,13
54,303,21,14
55,296,19,14
56,380,17,15
57,375,17,15
58,367,17,15
59,355,17,15
60,346,24,15
61,339,26,16
62,330,25,16
63,321,26,16
64,387,25,16
65,374,24,16
