Turn,Plants,Herbivores,Predators
0,60,20,7
1,52,20,7
2,47,19,7
3,42,19,7
4,37,19,7
5,37,19,7
6,33,18,7
7,32,17,7
8,61,17,7
9,61,16,7
10,59,15,7
11,55,15,7
12,51,15,7
13,50,15,7
14,48,14,7
15,44,23,8
16,77,23,8
17,74,23,8
18,71,23,8
19,65,22,8
20,63,22,8
21,61,22,8
22,57,22,8
23,53,21,9
24,100,20,9
25,98,19,9
26,96,18,10
27,94,18,10
28,91,18,10
29,88,18,10
30,87,23,10
31,83,23,11
32,146,23,11
33,141,22,11
34,134,21,12
35,131,21,12
36,128,21,12
37,125,21,12
38,123,18,13
39,119,18,13
40,193,17,14
41,188,17,14
42,184,17,14
43,180,16,14
44,175,15,15
45,167,20,15
46,159,21,15
47,149,21,15
48,198,22,15
49,185,22,15
50,171,22,15
51,158,22,15
52,144,22,15
53,131,22,15
54,119,22,15
55,111,22,15
56,150,21,14
57,138,20,15
58,125,20,15
59,112,20,15
60,101,29,15
61,87,32,15
62,77,31,15
63,67,33,15
64,88,32,15
65,72,31,15
66,58,31,17
67,46,29,18
68,38,29,18
69,30,29,18
70,23,28,18
71,20,27,17
72,33,27,18
73,29,27,18
74,26,26,17
75,23,37,17
76,17,39,17
77,16,39,17
78,16,42,17
79,16,40,17
80,26,37,17
81,26,36,19
82,26,33,20
83,26,32,19
84,26,31,19
85,25,30,19
